text,area,total_no_tokens,SI,GI
AU_S1A-001_R1000.txt,AU,2244,282,1188
AU_S1A-002_R1000.txt,AU,2240,293,1283
AU_S1A-003_R1000.txt,AU,2104,257,1217
AU_S1A-004_R1000.txt,AU,2220,301,1240
AU_S1A-005_R1000.txt,AU,2961,456,1962
AU_S1A-006_R1000.txt,AU,2180,377,1354
AU_S1A-007_R1000.txt,AU,2192,380,1362
AU_S1A-008_R1000.txt,AU,2171,301,1371
AU_S1A-009_R1000.txt,AU,2170,365,1344
AU_S1A-010_R1000.txt,AU,2204,388,1421
AU_S1A-011_R1000.txt,AU,2177,282,1279
AU_S1A-012_R1000.txt,AU,2235,359,1524
AU_S1A-013_R1000.txt,AU,2354,364,1481
AU_S1A-014_R1000.txt,AU,2230,360,1339
AU_S1A-015_R1000.txt,AU,2201,322,1318
AU_S1A-016_R1000.txt,AU,2173,331,1359
AU_S1A-017_R1000.txt,AU,2221,326,1316
AU_S1A-018_R1000.txt,AU,2244,318,1275
AU_S1A-019_R1000.txt,AU,2142,347,1310
AU_S1A-020_R1000.txt,AU,2252,341,1314
AU_S1A-021_R1000.txt,AU,2210,402,1388
AU_S1A-022_R1000.txt,AU,2260,375,1425
AU_S1A-023_R1000.txt,AU,2233,310,1337
AU_S1A-024_R1000.txt,AU,2280,334,1291
AU_S1A-025_R1000.txt,AU,2247,318,1391
AU_S1A-026_R1000.txt,AU,2268,365,1311
AU_S1A-027_R1000.txt,AU,2181,336,1342
AU_S1A-028_R1000.txt,AU,2253,318,1319
AU_S1A-029_R1000.txt,AU,2269,359,1339
AU_S1A-030_R1000.txt,AU,2214,346,1339
AU_S1A-031_R1000.txt,AU,2201,356,1336
AU_S1A-032_R1000.txt,AU,2184,291,1305
AU_S1A-033_R1000.txt,AU,2194,341,1298
AU_S1A-034_R1000.txt,AU,2140,316,1220
AU_S1A-035_R1000.txt,AU,2225,373,1422
AU_S1A-036_R1000.txt,AU,2207,378,1412
AU_S1A-037_R1000.txt,AU,2158,274,1237
AU_S1A-038_R1000.txt,AU,2218,353,1218
AU_S1A-039_R1000.txt,AU,2452,373,1352
AU_S1A-040_R1000.txt,AU,2147,328,1265
AU_S1A-041_R1000.txt,AU,2195,357,1430
AU_S1A-042_R1000.txt,AU,2217,298,1339
AU_S1A-043_R1000.txt,AU,2259,339,1320
AU_S1A-044_R1000.txt,AU,2199,368,1310
AU_S1A-045_R1000.txt,AU,2242,350,1391
AU_S1A-046_R1000.txt,AU,2182,320,1351
AU_S1A-047_R1000.txt,AU,2239,396,1412
AU_S1A-048_R1000.txt,AU,2309,349,1390
AU_S1A-049_R1000.txt,AU,2216,348,1401
AU_S1A-050_R1000.txt,AU,2222,354,1426
AU_S1A-051_R1000.txt,AU,2164,272,1273
AU_S1A-052_R1000.txt,AU,2187,358,1358
AU_S1A-053_R1000.txt,AU,2218,315,1325
AU_S1A-054_R1000.txt,AU,2231,383,1346
AU_S1A-055_R1000.txt,AU,2260,327,1414
AU_S1A-056_R1000.txt,AU,2199,314,1297
AU_S1A-057_R1000.txt,AU,2210,327,1330
AU_S1A-058_R1000.txt,AU,2236,367,1369
AU_S1A-059_R1000.txt,AU,2121,303,1246
AU_S1A-060_R1000.txt,AU,2229,357,1355
AU_S1A-061_R1000.txt,AU,2261,354,1378
AU_S1A-062_R1000.txt,AU,2314,350,1352
AU_S1A-063_R1000.txt,AU,2218,353,1339
AU_S1A-064_R1000.txt,AU,2321,357,1454
AU_S1A-065_R1000.txt,AU,2159,361,1368
AU_S1A-066_R1000.txt,AU,2282,349,1371
AU_S1A-067_R1000.txt,AU,2229,412,1487
AU_S1A-068_R1000.txt,AU,2260,398,1389
AU_S1A-069_R1000.txt,AU,2280,353,1416
AU_S1A-070_R1000.txt,AU,2259,328,1322
AU_S1A-071_R1000.txt,AU,2133,287,1291
AU_S1A-072_R1000.txt,AU,2222,358,1334
AU_S1A-073_R1000.txt,AU,2150,309,1295
AU_S1A-074_R1000.txt,AU,2250,346,1315
AU_S1A-075_R1000.txt,AU,2205,370,1361
AU_S1A-076_R1000.txt,AU,2297,351,1367
AU_S1A-077_R1000.txt,AU,2283,368,1375
AU_S1A-078_R1000.txt,AU,2230,334,1403
AU_S1A-079_R1000.txt,AU,2274,378,1446
AU_S1A-080_R1000.txt,AU,2161,274,1332
AU_S1A-081_R1000.txt,AU,2246,326,1276
AU_S1A-082_R1000.txt,AU,2288,380,1408
AU_S1A-083_R1000.txt,AU,2248,308,1366
AU_S1A-084_R1000.txt,AU,2202,346,1360
AU_S1A-085_R1000.txt,AU,2249,417,1468
AU_S1A-086_R1000.txt,AU,2212,369,1354
AU_S1A-087_R1000.txt,AU,2211,342,1270
AU_S1A-088_R1000.txt,AU,2317,335,1407
AU_S1A-089_R1000.txt,AU,2336,367,1376
AU_S1A-090_R1000.txt,AU,2280,294,1303
AU_S1A-091_R1000.txt,AU,2200,331,1368
AU_S1A-092_R1000.txt,AU,2190,339,1333
AU_S1A-093_R1000.txt,AU,2247,365,1364
AU_S1A-094_R1000.txt,AU,2194,368,1370
AU_S1A-095_R1000.txt,AU,2107,320,1309
AU_S1A-096_R1000.txt,AU,2356,442,1446
AU_S1A-097_R1000.txt,AU,2180,330,1267
AU_S1A-098_R1000.txt,AU,2245,334,1310
AU_S1A-099_R1000.txt,AU,2213,311,1210
AU_S1A-100_R1000.txt,AU,2147,329,1319
CAN_s1a-001_R1000.txt,CAN,2276,282,1364
CAN_s1a-002_R1000.txt,CAN,2189,358,1443
CAN_s1a-003_R1000.txt,CAN,2253,349,1427
CAN_s1a-004_R1000.txt,CAN,2186,285,1328
CAN_s1a-005_R1000.txt,CAN,2357,312,1373
CAN_s1a-006_R1000.txt,CAN,2257,308,1266
CAN_s1a-007_R1000.txt,CAN,2210,365,1359
CAN_s1a-008_R1000.txt,CAN,2218,317,1366
CAN_s1a-009_R1000.txt,CAN,2189,314,1390
CAN_s1a-010_R1000.txt,CAN,2196,268,1285
CAN_s1a-011_R1000.txt,CAN,2382,376,1544
CAN_s1a-012_R1000.txt,CAN,2285,271,1256
CAN_s1a-013_R1000.txt,CAN,2340,342,1371
CAN_s1a-014_R1000.txt,CAN,2285,362,1348
CAN_s1a-015_R1000.txt,CAN,2168,322,1380
CAN_s1a-016_R1000.txt,CAN,2165,367,1368
CAN_s1a-017_R1000.txt,CAN,2237,319,1354
CAN_s1a-018_R1000.txt,CAN,2140,319,1299
CAN_s1a-019_R1000.txt,CAN,2305,302,1327
CAN_s1a-020_R1000.txt,CAN,2210,321,1285
CAN_s1a-021_R1000.txt,CAN,2229,296,1241
CAN_s1a-022_R1000.txt,CAN,2225,320,1312
CAN_s1a-023_R1000.txt,CAN,2192,372,1324
CAN_s1a-024_R1000.txt,CAN,2196,257,1242
CAN_s1a-025_R1000.txt,CAN,2162,297,1328
CAN_s1a-026_R1000.txt,CAN,2187,340,1345
CAN_s1a-027_R1000.txt,CAN,2190,344,1351
CAN_s1a-028_R1000.txt,CAN,2167,380,1395
CAN_s1a-029_R1000.txt,CAN,2183,296,1216
CAN_s1a-030_R1000.txt,CAN,2167,312,1223
CAN_s1a-031_R1000.txt,CAN,2142,268,1253
CAN_s1a-032_R1000.txt,CAN,2258,354,1432
CAN_s1a-033_R1000.txt,CAN,2180,247,1307
CAN_s1a-034_R1000.txt,CAN,2183,333,1361
CAN_s1a-035_R1000.txt,CAN,2208,339,1337
CAN_s1a-036_R1000.txt,CAN,2173,286,1302
CAN_s1a-037_R1000.txt,CAN,2379,276,1391
CAN_s1a-038_R1000.txt,CAN,2250,315,1207
